# Canonical IPA names/descriptions based on the International Phonetic Association chart:
# https://www.internationalphoneticassociation.org/content/full-ipa-chart
# Format: IPA symbol<TAB>readable representation<TAB>English description
ə	uh	schwa — mid central unrounded vowel
ɑ	ah	script a / open back unrounded vowel
æ	ae	ash — near-open front unrounded vowel
ɪ	ih	barred i — near-close near-front unrounded vowel
ɛ	eh	epsilon / open-mid front unrounded vowel
ʌ	uh2	turned v — open-mid back unrounded vowel
ɔ	aw	open o — open-mid back rounded vowel
ʊ	uu	horseshoe u — near-close near-back rounded vowel
ɐ	turned-a	turned a — near-open central vowel
ɒ	short-o	turned alpha — open back rounded vowel
e	ay	close-mid front unrounded vowel
i	ee	close front unrounded vowel
o	oh	close-mid back rounded vowel
u	oo	close back rounded vowel
ŋ	ng	eng — voiced velar nasal
ʃ	sh	esh — voiceless postalveolar fricative
ʒ	zh	ezh — voiced postalveolar fricative
θ	th	voiceless dental fricative
ð	dh	eth — voiced dental fricative
ɹ	r	turned r — alveolar approximant
ɾ	flap	alveolar tap or flap
j	y	palatal approximant
w	w	labial-velar approximant
h	h	voiceless glottal fricative
ˈ	stress	primary stress mark
ˌ	secondary	secondary stress mark
ː	long	length mark
ˑ	half-long	half-long mark
ʰ	aspirated	aspiration modifier
ʲ	palatalized	palatalization modifier
̃	nasalized	nasalization tilde
̩	syllabic	syllabic mark
̪	dental	dental modifier
̺	apical	apical modifier
̻	laminal	laminal modifier
