14:45:45.189 [main] === Redstone logger started ===
14:45:45.190 [main] RedstoneManager created, world=com.voxel.World@4ddced80 chunkManager=com.voxel.world.ChunkManager@1534f01b
14:45:45.537 [LogicThread] setPlayerPosition (1024,63,1024) player moved
14:45:50.681 [LogicThread] setPlayerPosition (1024,62,1024) player moved
14:45:52.027 [REPEATED x2]
14:45:52.027 [LogicThread] setPlayerPosition (1024,62,1023) player moved
14:45:52.095 [REPEATED x1]
14:45:52.095 [LogicThread] setPlayerPosition (1024,63,1023) player moved
14:45:52.129 [LogicThread] setPlayerPosition (1025,63,1023) player moved
14:45:52.162 [LogicThread] setPlayerPosition (1025,64,1023) player moved
14:45:52.194 [LogicThread] setPlayerPosition (1026,65,1022) player moved
14:45:52.226 [LogicThread] setPlayerPosition (1027,66,1022) player moved
14:45:52.260 [LogicThread] setPlayerPosition (1027,67,1022) player moved
14:45:52.312 [LogicThread] setPlayerPosition (1028,69,1021) player moved
14:45:52.342 [LogicThread] setPlayerPosition (1029,70,1021) player moved
14:45:52.366 [LogicThread] setPlayerPosition (1030,71,1021) player moved
14:45:52.369 [LogicThread] setPlayerPosition (1030,72,1020) player moved
14:45:52.400 [LogicThread] setPlayerPosition (1031,74,1020) player moved
14:45:52.434 [LogicThread] setPlayerPosition (1033,76,1019) player moved
14:45:52.466 [LogicThread] setPlayerPosition (1034,77,1018) player moved
14:45:52.499 [LogicThread] setPlayerPosition (1035,79,1018) player moved
14:45:52.534 [LogicThread] setPlayerPosition (1036,81,1017) player moved
14:45:52.567 [LogicThread] setPlayerPosition (1038,83,1016) player moved
14:45:52.585 [LogicThread] setPlayerPosition (1038,84,1016) player moved
14:45:52.602 [LogicThread] setPlayerPosition (1039,85,1016) player moved
14:45:52.620 [LogicThread] setPlayerPosition (1040,86,1015) player moved
14:45:52.637 [LogicThread] setPlayerPosition (1041,87,1015) player moved
14:45:52.655 [LogicThread] setPlayerPosition (1041,88,1014) player moved
14:45:52.672 [LogicThread] setPlayerPosition (1042,89,1014) player moved
14:45:52.688 [LogicThread] setPlayerPosition (1043,90,1013) player moved
14:45:52.707 [LogicThread] setPlayerPosition (1044,91,1013) player moved
14:45:52.729 [LogicThread] setPlayerPosition (1045,92,1012) player moved
14:45:52.746 [LogicThread] setPlayerPosition (1046,93,1011) player moved
14:45:52.765 [LogicThread] setPlayerPosition (1047,94,1011) player moved
14:45:52.787 [LogicThread] setPlayerPosition (1048,95,1010) player moved
14:45:52.814 [LogicThread] setPlayerPosition (1050,96,1009) player moved
14:45:52.831 [LogicThread] setPlayerPosition (1051,97,1008) player moved
14:45:52.848 [LogicThread] setPlayerPosition (1052,98,1007) player moved
14:45:52.865 [LogicThread] setPlayerPosition (1053,99,1007) player moved
14:45:52.886 [LogicThread] setPlayerPosition (1054,100,1006) player moved
14:45:52.915 [LogicThread] setPlayerPosition (1056,101,1004) player moved
14:45:52.931 [LogicThread] setPlayerPosition (1057,102,1004) player moved
14:45:52.949 [LogicThread] setPlayerPosition (1058,103,1003) player moved
14:45:52.966 [LogicThread] setPlayerPosition (1059,104,1002) player moved
14:45:52.985 [LogicThread] setPlayerPosition (1060,105,1001) player moved
14:45:53.003 [LogicThread] setPlayerPosition (1061,106,1000) player moved
14:45:53.019 [LogicThread] setPlayerPosition (1062,107,999) player moved
14:45:53.037 [LogicThread] setPlayerPosition (1063,107,998) player moved
14:45:53.054 [LogicThread] setPlayerPosition (1064,108,997) player moved
14:45:53.072 [LogicThread] setPlayerPosition (1065,109,996) player moved
14:45:53.097 [LogicThread] setPlayerPosition (1067,110,995) player moved
14:45:53.118 [LogicThread] setPlayerPosition (1068,111,994) player moved
14:45:53.140 [LogicThread] setPlayerPosition (1069,112,992) player moved
14:45:53.163 [LogicThread] setPlayerPosition (1070,114,991) player moved
